s.no;age;department_name;class_name;clothing_id;alike_feedback_count;rating;recommend_index ;review_text
632;60;Tops;Blouses;815;1;5;1;Very soft color and soft to touch. the material is light and airy and it feels great on. i wear a medium and bought the small. i would definitely buy this in another pattern if they made it as cute as the flamingos.
1096;25;Tops;Blouses;815;0;3;0;"The lace on this top is pretty, and i liked the way it was styled in the product photos, but did nothing for me on. between the loose sleeves and the boxy cut of the front, it just sort of hung shapelessly on me. i also found the back to be much shorter than 30.5""--it came to a few inches below my hips and was not tunic length like i expected. the shoulders fit me well, and because the top was boxy already, i didn't want to size up for length. for reference i tried on xs (i'm 5'4"", 120 lbs)."
1838;37;Tops;Blouses;815;0;5;1;I really love this top! it is soft, lightweight, and really pretty. it has quickly become one of my favorites!
